
code_province,osm_id,osm_type,category_key,category_value,lat,lon,reason
MA-01-227,11560830196,node,amenity,bench,35.8759447,-5.5182347,hors_polygone_commune_connu
MA-01-227,11560841904,node,amenity,bench,35.875688,-5.5181262,hors_polygone_commune_connu
MA-01-227,11560841905,node,amenity,bench,35.8761449,-5.5183192,hors_polygone_commune_connu
MA-01-227,11560841993,node,amenity,bench,35.8762588,-5.5183673,hors_polygone_commune_connu
MA-01-227,11560847276,node,amenity,waste_basket,35.8765734,-5.5185618,hors_polygone_commune_connu
MA-01-227,11560847277,node,amenity,waste_basket,35.8756522,-5.5181304,hors_polygone_commune_connu
MA-01-227,11560855080,node,amenity,fast_food,35.8760054,-5.5187904,hors_polygone_commune_connu
MA-01-227,11560857958,node,amenity,bench,35.8765579,-5.5184937,hors_polygone_commune_connu
MA-01-227,11560858586,node,leisure,picnic_table,35.8764084,-5.5184305,hors_polygone_commune_connu
MA-01-227,11560860786,node,amenity,waste_basket,35.8760592,-5.5187776,hors_polygone_commune_connu
MA-01-227,11560861519,node,leisure,picnic_table,35.8762991,-5.5183843,hors_polygone_commune_connu
MA-01-227,11560861520,node,leisure,picnic_table,35.876106,-5.5183028,hors_polygone_commune_connu
MA-01-227,11560862770,node,amenity,bench,35.8764738,-5.5184581,hors_polygone_commune_connu
MA-01-227,11560862870,node,leisure,picnic_table,35.8762109,-5.5183471,hors_polygone_commune_connu
MA-01-227,11560862969,node,amenity,bench,35.8758976,-5.5182147,hors_polygone_commune_connu
MA-01-227,11584448816,node,amenity,place_of_worship,35.8765809,-5.5180533,hors_polygone_commune_connu
MA-01-227,11596022362,node,amenity,ferry_terminal,35.8766826,-5.5209048,hors_polygone_commune_connu
MA-01-227,11596038569,node,amenity,ferry_terminal,35.8768015,-5.5194087,hors_polygone_commune_connu
MA-01-227,11596124263,node,amenity,ferry_terminal,35.8800392,-5.5145876,hors_polygone_commune_connu
MA-01-227,11596124264,node,amenity,ferry_terminal,35.8796966,-5.5146868,hors_polygone_commune_connu
MA-01-227,11596124265,node,amenity,ferry_terminal,35.8779944,-5.5166219,hors_polygone_commune_connu
MA-01-227,12521034801,node,amenity,toilets,35.8820478,-5.5132589,hors_polygone_commune_connu
MA-01-227,13968076638,node,leisure,slipway,35.8407783,-5.5759581,hors_polygone_commune_connu
MA-01-227,178877454,way,amenity,ferry_terminal,35.8779408,-5.516533,hors_polygone_commune_connu
MA-01-227,1040872719,way,amenity,parking,35.8606428,-5.5354282,hors_polygone_commune_connu
MA-01-227,1040872722,way,amenity,parking,35.8570812,-5.5392766,hors_polygone_commune_connu
MA-01-227,1246078086,way,amenity,parking,35.8759586,-5.5184351,hors_polygone_commune_connu
MA-01-227,1246078088,way,amenity,parking,35.8760734,-5.5180959,hors_polygone_commune_connu
MA-01-227,1532678337,way,leisure,pitch,35.8394435,-5.5725127,hors_polygone_commune_connu
MA-01-227,1532678340,way,amenity,parking,35.8409488,-5.5695669,hors_polygone_commune_connu
MA-01-227,1532678343,way,amenity,parking,35.8421607,-5.5703611,hors_polygone_commune_connu
MA-01-227,1532678347,way,amenity,parking,35.840791,-5.5706403,hors_polygone_commune_connu
MA-01-227,1532686543,way,amenity,parking,35.8412104,-5.5709594,hors_polygone_commune_connu
MA-01-227,1532686544,way,amenity,parking,35.8414219,-5.5711198,hors_polygone_commune_connu
MA-01-227,1532687872,way,amenity,parking,35.841426,-5.5754157,hors_polygone_commune_connu
MA-01-227,1532692099,way,amenity,parking,35.8420459,-5.5769604,hors_polygone_commune_connu
MA-01-227,1532746468,way,amenity,parking,35.8395394,-5.5716671,hors_polygone_commune_connu
MA-01-227,1532749865,way,amenity,parking,35.8418821,-5.5701712,hors_polygone_commune_connu
MA-01-227,1532749866,way,amenity,parking,35.8417006,-5.5700366,hors_polygone_commune_connu
MA-01-227,1532749867,way,amenity,parking,35.8412449,-5.5696896,hors_polygone_commune_connu
MA-01-227,1533540603,way,amenity,parking,35.8812899,-5.5121752,hors_polygone_commune_connu
MA-01-227,1533550232,way,amenity,parking,35.8818529,-5.5226023,hors_polygone_commune_connu
MA-01-227,1533550233,way,amenity,parking,35.8811557,-5.5226685,hors_polygone_commune_connu
MA-01-227,1533550234,way,amenity,parking,35.8804405,-5.5227332,hors_polygone_commune_connu
MA-01-227,1533550235,way,amenity,parking,35.8798553,-5.5227862,hors_polygone_commune_connu
MA-01-227,1533550242,way,amenity,parking,35.8581006,-5.5384832,hors_polygone_commune_connu
MA-01-227,1533550246,way,amenity,parking,35.8602321,-5.5353807,hors_polygone_commune_connu
MA-01-227,1533550255,way,amenity,parking,35.8631179,-5.5316593,hors_polygone_commune_connu
MA-01-227,1533936242,way,amenity,parking,35.8872607,-5.5045852,hors_polygone_commune_connu
MA-01-227,1533936243,way,amenity,parking,35.8869299,-5.5048671,hors_polygone_commune_connu
MA-01-227,1533936244,way,amenity,parking,35.8880068,-5.5053181,hors_polygone_commune_connu
MA-01-227,1533936245,way,amenity,parking,35.8877197,-5.5049635,hors_polygone_commune_connu
MA-01-227,1533936247,way,amenity,parking,35.8887665,-5.5047479,hors_polygone_commune_connu
MA-01-227,1533936249,way,amenity,parking,35.8881884,-5.5040528,hors_polygone_commune_connu
MA-01-227,1533936250,way,amenity,parking,35.8868793,-5.5043152,hors_polygone_commune_connu
MA-01-227,1533936251,way,amenity,parking,35.8876136,-5.5031963,hors_polygone_commune_connu
MA-01-227,1533936252,way,amenity,parking,35.8868702,-5.5022151,hors_polygone_commune_connu
MA-01-227,1533936253,way,amenity,parking,35.8876139,-5.5017001,hors_polygone_commune_connu
MA-01-227,1533939855,way,amenity,parking,35.8866455,-5.5036382,hors_polygone_commune_connu
MA-01-227,1533941605,way,amenity,parking,35.8899386,-5.5050389,hors_polygone_commune_connu
MA-01-227,1534097151,way,amenity,parking,35.8866782,-5.5005965,hors_polygone_commune_connu
MA-01-227,1534097153,way,amenity,parking,35.8860457,-5.4997616,hors_polygone_commune_connu
MA-01-227,1534097155,way,amenity,parking,35.8857348,-5.4992514,hors_polygone_commune_connu
MA-01-227,1534097157,way,amenity,parking,35.8858731,-5.4988054,hors_polygone_commune_connu
MA-01-227,1534097162,way,amenity,parking,35.8866417,-5.4991492,hors_polygone_commune_connu
MA-01-227,1534217807,way,amenity,parking,35.839526,-5.5739773,hors_polygone_commune_connu
MA-01-227,21034872,relation,leisure,track,35.8393349,-5.5727632,hors_polygone_commune_connu
MA-01-331,1687660164,node,tourism,viewpoint,35.2014462,-6.1545867,hors_polygone_commune_connu
MA-01-331,2907753752,node,amenity,post_office,35.0126054,-5.9084493,hors_polygone_commune_connu
MA-01-331,4124585258,node,amenity,fuel,35.0050278,-5.9198436,hors_polygone_commune_connu
MA-01-331,4124585714,node,amenity,fuel,35.0069124,-5.9280865,hors_polygone_commune_connu
MA-01-331,4357104894,node,amenity,shelter,35.2622312,-5.9840641,hors_polygone_commune_connu
MA-01-331,4574998392,node,office,government,35.0053852,-5.9116835,hors_polygone_commune_connu
MA-01-331,4593890389,node,amenity,cafe,35.009892,-5.9071753,hors_polygone_commune_connu
MA-01-331,4651713389,node,amenity,cafe,35.3320697,-6.0067913,hors_polygone_commune_connu
MA-01-331,4699645124,node,amenity,place_of_worship,35.0155237,-5.9118531,hors_polygone_commune_connu
MA-01-331,5077982391,node,amenity,fuel,35.0069559,-5.928133,hors_polygone_commune_connu
MA-01-331,5077982392,node,amenity,courthouse,35.0082885,-5.9314212,hors_polygone_commune_connu
MA-01-331,6246110147,node,amenity,cafe,35.0054574,-5.9225054,hors_polygone_commune_connu
MA-01-331,6246110166,node,amenity,cafe,35.0050403,-5.9215587,hors_polygone_commune_connu
MA-01-331,8659237746,node,amenity,pharmacy,35.0082621,-5.9102506,hors_polygone_commune_connu
MA-01-331,8659243708,node,amenity,pharmacy,35.0207205,-5.9179957,hors_polygone_commune_connu
MA-01-331,11020651405,node,amenity,bar,35.0057101,-5.9233999,hors_polygone_commune_connu
MA-01-331,11020664105,node,amenity,childcare,35.0056919,-5.92334,hors_polygone_commune_connu
MA-01-331,11459961415,node,amenity,bank,35.0102498,-5.9074601,hors_polygone_commune_connu
MA-01-331,14015459966,node,amenity,school,35.0048174,-5.9141086,hors_polygone_commune_connu
MA-01-331,14015459991,node,amenity,school,35.0047241,-5.9144616,hors_polygone_commune_connu
MA-01-331,14015459994,node,amenity,school,35.0051029,-5.9150964,hors_polygone_commune_connu
MA-01-331,14015548189,node,amenity,school,35.0050696,-5.9165381,hors_polygone_commune_connu
MA-01-331,14015548192,node,amenity,school,35.0107773,-5.9076009,hors_polygone_commune_connu
MA-01-331,14015548193,node,amenity,school,35.0046933,-5.9161907,hors_polygone_commune_connu
MA-01-331,14015549632,node,amenity,school,35.0170932,-5.9140519,hors_polygone_commune_connu
MA-01-331,14015549633,node,amenity,school,35.0047086,-5.9143183,hors_polygone_commune_connu
MA-01-331,14015549634,node,amenity,school,35.0049275,-5.9165157,hors_polygone_commune_connu
MA-01-331,14015549642,node,amenity,school,35.0046299,-5.9153955,hors_polygone_commune_connu
MA-01-331,14015550003,node,amenity,school,35.0048513,-5.9169457,hors_polygone_commune_connu
MA-01-331,14015550118,node,amenity,school,35.0049823,-5.9168111,hors_polygone_commune_connu
MA-01-331,14015550120,node,amenity,school,35.0050787,-5.9149058,hors_polygone_commune_connu
MA-01-331,14015550121,node,amenity,school,35.004793,-5.9158537,hors_polygone_commune_connu
MA-01-331,455758645,way,amenity,place_of_worship,35.0198741,-5.9162569,hors_polygone_commune_connu
MA-01-331,455758746,way,amenity,place_of_worship,35.0192857,-5.9191835,hors_polygone_commune_connu
MA-01-331,455759578,way,amenity,place_of_worship,35.0088907,-5.910018,hors_polygone_commune_connu
MA-01-331,476365872,way,amenity,place_of_worship,35.0190043,-5.9221695,hors_polygone_commune_connu
