report_title,report_url,pdf_filename,page_number,row_number,categorie,encours_mdh,periode
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,81,Créditbancaire,480101.7626482356,2008-08-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,82,Créditbancaire,490144.88151335507,2008-09-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,83,Créditbancaire,505872.0980515323,2008-10-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,84,Créditbancaire,510429.9431518902,2008-11-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,85,Créditbancaire,526189.5434781214,2008-12-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,86,Créditbancaire,519920.5103823484,2009-01-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,87,Créditbancaire,525557.1667129262,2009-02-28
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,88,Créditbancaire,528674.7824555871,2009-03-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,89,Créditbancaire,532444.6695502031,2009-04-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,90,Créditbancaire,534047.4229721075,2009-05-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,91,Créditbancaire,549606.7750775376,2009-06-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,92,Créditbancaire,558015.0635342234,2009-07-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,93,Créditbancaire,558406.9754781601,2009-08-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,94,Créditbancaire,564019.4083558065,2009-09-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,95,Créditbancaire,562910.152638519,2009-10-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,96,Créditbancaire,567571.9610485502,2009-11-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,97,Créditbancaire,577083.8207342295,2009-12-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,98,Créditbancaire,580962.667253757,2010-01-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,99,Créditbancaire,586028.1697964362,2010-02-28
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,100,Créditbancaire,592473.5634511354,2010-03-31
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,101,Créditbancaire,594519.9451405383,2010-04-30
13 - Ventilation du crédit bancaire par secteur institutionnel,https://www.bkam.ma/content/download/632825/7098259/13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,13- Ventilation du crédit bancaire par secteur institutionnel.xlsx,1,102,Créditbancaire,604197.4355520646,2010-05-31
